LA,Name,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length,SC,Pop,Store_Density,South check
E06000058,"Bournemouth, Christchurch and Poole",410815,94066,-1.84807,50.74609,70c1a9eb-a118-4ced-8b6a-8e55775a101f,173932088,90433.00739,9,400060,44451.11111,South
E06000059,Dorset,370871,99796,-2.41467,50.79697,f471fbd6-bbda-4a7d-80f7-f28a3ea40293,2521074344,416747.9212,13,379570,29197.69231,South
E06000060,Buckinghamshire,482506,208561,-0.80569,51.76966,443ff6a5-f8a8-40d4-8b30-3bb9557a85d8,1564937985,361907.4749,12,553245,46103.75,South
E07000040,East Devon,313787,96051,-3.22364,50.75761,45170a68-12f3-4401-840a-0c251a3dd857,822443250.9,217426.4279,3,151195,50398.33333,South
E07000041,Exeter,293239,92005,-3.51368,50.71782,c5157d67-9a2e-47ae-ba8e-189614161770,47884796.92,37259.84613,6,130660,21776.66667,South
E07000042,Mid Devon,288064,108911,-3.59212,50.86882,0e7372be-2d05-466c-8844-f22908a12543,912900687.4,246619.1481,1,82815,82815,South
E07000043,North Devon,265110,132532,-3.92691,51.07621,61494bd7-3367-4bf4-94c4-5b9f98b3e3e9,1104740394,252307.2608,2,98825,49412.5,South
E07000044,South Hams,270676,54036,-3.81996,50.37195,c9a73d53-c253-4654-8dda-dbab852dd8ca,905130476.5,349372.9226,0,88825,,South
E07000045,Teignbridge,283144,80205,-3.65289,50.60981,27195490-c8ed-4186-a1b9-8f5e399a5ab3,680052721.3,161961.5225,3,134750,44916.66667,South
E07000046,Torridge,244206,114334,-4.21728,50.90739,1d9d5975-c75c-4d91-9f2f-5c740b875dd8,995287725.2,325999.4722,0,68105,,South
E07000047,West Devon,256376,86990,-4.03361,50.66481,1f54ef49-8c33-4aea-859d-0b871888d8d4,1164731578,241057.9879,1,57065,57065,South
E07000061,Eastbourne,559339,99575,0.258516,50.77387,802bf886-fe2b-4d5d-96d2-9a2bad7dd2cd,45331279.79,36360.19594,1,101640,101640,South
E07000062,Hastings,581528,110694,0.578395,50.86724,610d76b5-9289-4960-ae19-6f0e6d7955d2,30801104.22,35829.42573,2,91015,45507.5,South
E07000063,Lewes,541474,105686,0.007671,50.83341,0fa7d233-3d25-4907-ac99-7794b2b66d11,294397948.4,116639.7898,1,99860,99860,South
E07000064,Rother,578721,119666,0.542937,50.94871,8c648536-4df9-476f-b884-3c692d9136c5,517123484.1,163781.1317,0,93105,,South
E07000065,Wealden,555048,117180,0.205156,50.93322,14a1b702-dcb2-4584-9eef-e502737d5b41,836160747.6,218977.4166,1,160085,160085,South
E07000066,Basildon,571548,190848,0.475055,51.59036,f7f30cb1-3193-4d5e-b5a0-0f5b1c6dfe3b,110449130.9,59682.72766,9,187600,20844.44444,South
E07000067,Braintree,577253,227335,0.575911,51.91634,920351e3-8d2b-408a-ad2a-df7b4ec8a744,611708022.1,168682.8607,5,155260,31052,South
E07000068,Brentwood,558560,196070,0.290091,51.64108,ee667e33-c065-41f6-a967-5de2a6f8ae8e,153124041.9,72338.72111,2,77055,38527.5,South
E07000069,Castle Point,579490,187920,0.588084,51.56159,0fcff1a6-df05-480f-8d0d-64dacf328714,63622071.05,45505.96605,2,89595,44797.5,South
E07000070,Chelmsford,572116,206972,0.491177,51.73503,9dc453e6-1a67-4c13-b7eb-59e8badd0754,342997310,113215.9113,6,181455,30242.5,South
E07000071,Colchester,596944,223693,0.859777,51.87702,45eb75d1-77c3-4d66-a174-2e84cae77257,346773262,131019.6934,6,192710,32118.33333,South
E07000072,Epping Forest,548919,203759,0.154147,51.7128,b69fa9bd-39dd-4009-9d20-92278ced917e,338984118.3,123269.1977,4,134965,33741.25,South
E07000073,Harlow,545276,209589,0.103888,51.76614,42fff41c-40e2-4554-a8b1-d6ce41a9eda7,30537927.56,28513.37074,5,93335,18667,South
E07000074,Maldon,591413,212072,0.773106,51.77458,52a57221-451f-44b1-89f5-d628cd624bdc,428049209.8,109042.5083,2,66230,33115,South
E07000075,Rochford,585979,191417,0.683442,51.5909,e11bb546-b69b-4e10-8cc5-be6c718ea0e7,262900355.1,195284.0336,2,85675,42837.5,South
E07000076,Tendring,614190,222141,1.108981,51.85674,b40f0323-0776-493a-a445-ae7ca0fb8183,366182684.4,99196.0019,5,148265,29653,South
E07000077,Uttlesford,557832,228865,0.294485,51.93592,09293980-72da-4ca7-99c4-7e4f14f45e60,641182884,166503.2573,0,91490,,South
E07000078,Cheltenham,394925,222232,-2.07515,51.89861,b6bbfe6a-6741-4307-8a4c-fb4d35879ab8,46596063.96,38220.69034,3,118850,39616.66667,South
E07000079,Cotswold,402125,208209,-1.97059,51.77255,5d24884e-0a69-4090-8f7d-52d6988db85f,1164524435,332430.6321,3,90825,30275,South
E07000080,Forest of Dean,367175,212759,-2.47755,51.81249,295893b7-4656-4815-a3be-f18ed29a8cca,561873675.6,191241.011,1,87125,87125,South
E07000081,Gloucester,384071,216449,-2.23263,51.84641,18568de2-cf5b-4bf7-9d27-10921c1999c3,40826604.44,31271.5332,3,132385,44128.33333,South
E07000082,Stroud,378807,202410,-2.30818,51.72001,daebad15-7aac-4589-a7fd-5d54be3a6979,475427750.6,171890.0781,1,121090,121090,South
E07000083,Tewkesbury,386347,226279,-2.19998,51.93485,ca08c470-6695-4064-beb9-8aee068bbb28,414975908.1,201664.8634,3,94935,31645,South
E07000084,Basingstoke and Deane,454508,151423,-1.22021,51.25937,9ded63f6-4e42-4872-a987-c519242b82bf,633808768.3,143445.5616,7,185080,26440,South
E07000085,East Hampshire,474405,129237,-0.9397,51.05765,aeaca8a5-5427-4539-aa01-7a6903770ba1,514427244.7,144529.5016,4,125700,31425,South
E07000086,Eastleigh,447199,116807,-1.32947,50.94876,fb26cbc5-74bf-4d5d-9ba4-7c637484db56,85297359.68,68065.10164,3,136450,45483.33333,South
E07000087,Fareham,453774,106319,-1.23742,50.85388,5f26dae9-7802-4b8c-9509-711836576a62,77884460.37,55256.57169,3,114840,38280,South
E07000088,Gosport,458769,101088,-1.16731,50.80636,0af6a514-cc3a-44b0-bef6-4d1e9602d971,27607879.63,25712.91366,1,82110,82110,South
E07000089,Hart,477985,154240,-0.88321,51.28197,8fd7d75b-7c96-44e5-ab15-9fc0dd50a8f0,215265062.9,77846.41714,2,99730,49865,South
E07000090,Havant,470178,108564,-1.00398,50.87231,1336b78f-6d51-4fe4-b821-5137ef64add4,78947468.65,56128.41538,4,124190,31047.5,South
E07000091,New Forest,428748,106521,-1.59293,50.85748,42301cf6-c1c7-4307-9b60-e7c1f4cb09e6,776285690.1,183518.204,3,175765,58588.33333,South
E07000092,Rushmoor,486022,153944,-0.76807,51.27815,7d89f137-906c-4dd1-9d03-d6bcb362545c,39045031.35,31890.67999,2,99930,49965,South
E07000093,Test Valley,434930,137329,-1.50214,51.13417,623007de-28b0-4cb9-be59-8d7e0af94b54,627632026.7,185887.2505,5,130530,26106,South
E07000094,Winchester,453115,125901,-1.24393,51.03002,6468ef1c-2c65-4093-b320-eb7328121ab9,661061291.9,168124.1877,1,127710,127710,South
E07000095,Broxbourne,534742,204251,-0.05073,51.7208,cdc09315-eeb4-4e3f-8d82-f56aae66bc85,51442323.46,39066.07814,3,98995,32998.33333,South
E07000096,Dacorum,500084,208745,-0.55098,51.76845,b4eb184c-433b-4eec-82a8-4dee836b551c,212476384.7,110099.8519,3,155040,51680,South
E07000098,Hertsmere,519774,199352,-0.26899,51.68017,6fbe0c41-db34-434a-b797-cd67a9c0acc6,101128118.2,61226.97553,3,107840,35946.66667,South
E07000099,North Hertfordshire,522191,230255,-0.22315,51.95737,32871d53-d68f-4329-a761-e0c8b8d1367b,375382263.8,168304.5224,3,133205,44401.66667,South
